Time,H2,O2,N2,CH4,CO,t,Current [A],Voltage,Flow_rate_median_dry,Flow_rate_mean_dry,c_H2,c_CO,FE_H2,FE_CO
14:28:05,24876,231675,827,174.0,0.0,2026-04-02 14:28:05,0.0985,2.25,48.47527363508898,48.251835968205945,5.472937204196975e-05,0.0,0.3584186630693432,0.0
14:38:42,21223,208511,1010,137.0,0.0,2026-04-02 14:38:42,0.0985,2.25,48.47527363508898,48.251835968205945,4.6692180959208785e-05,0.0,0.30578368526424515,0.0
14:42:12,251318,152061,1672,86.0,0.0,2026-04-02 14:42:12,0.251,2.57,47.96935416798365,48.026173595308,0.0005531212941873051,0.0,1.4066842986929435,0.0
14:52:43,1042,144857,311,418.0,0.0,2026-04-02 14:52:43,0.251,2.57,47.96935416798365,48.026173595308,2.29240381103164e-06,0.0,0.0058299842749320865,0.0
14:56:12,10172936,111060,271393,314.0,0.0,2026-04-02 14:56:12,0.251,2.57,47.96935416798365,48.026173595308,0.022743704280278935,0.0,57.841222244374336,0.0
15:06:44,10888436,113323,633,410.0,0.0,2026-04-02 15:06:44,0.497,3.09,49.747277859461214,49.80895455799324,0.024370697915226596,0.0,32.46138240161866,0.0
15:10:18,19199064,86319,771,228.0,0.0,2026-04-02 15:10:18,0.497,3.09,49.747277859461214,49.80895455799324,0.04353174104525109,0.0,57.983587404579055,0.0
15:20:45,20801421,91783,891,108.0,0.0,2026-04-02 15:20:45,1.001,3.605,50.60023775551134,50.581265202774254,0.04728190009582353,0.0,31.805301191425645,0.0
15:24:16,25520785,66796,146431,111.0,97386.0,2026-04-02 15:24:16,1.001,3.605,50.60023775551134,50.581265202774254,0.05843182673922695,0.0022398780000000003,39.30556608004148,1.5067075197415938
15:34:49,29560585,71099,1001,314.0,286248.0,2026-04-02 15:34:49,1.001,3.605,50.60023775551134,50.581265202774254,0.0681004239312532,0.006583704,45.80937927637559,4.42868599296605
15:38:18,33210954,58282,982,123.0,545291.0,2026-04-02 15:38:18,1.001,3.605,50.60023775551134,50.581265202774254,0.0769355146042213,0.012541693,51.752514373269186,8.43646982263789
15:48:54,33801918,63024,423,255.0,613752.0,2026-04-02 15:48:54,1.499,3.94,50.679000733120105,50.79110667696268,0.07837463910828031,0.014116296,35.26046829667958,6.350870807671225
15:52:24,40730637,51328,2296,4409.0,2632164.0,2026-04-02 15:52:24,1.499,3.94,50.679000733120105,50.79110667696268,0.09543043801439444,0.060539772000000006,42.93381089124908,27.236625719513942
16:02:55,41219384,56848,1586,4489.0,2776798.0,2026-04-02 16:02:55,2.002,4.2,52.953505377255986,53.247193882236495,0.09664626683686148,0.063866354,34.017456347284416,22.479615409486065
16:06:25,49809031,53313,5474,167.0,3593448.0,2026-04-02 16:06:25,2.002,4.2,52.953505377255986,53.247193882236495,0.11828796608774794,0.082649304,41.63488000619079,29.09081936604207
16:16:57,52914568,51393,2005,900.0,3909363.0,2026-04-02 16:16:57,2.002,4.2,52.953505377255986,53.247193882236495,0.12623987938825945,0.089915349,44.43378649715905,31.648314618519123
16:20:30,56570920,50673,4866,4591.0,4208962.0,2026-04-02 16:20:30,2.499,4.45,55.84666869075458,56.10284854167545,0.13568896815365886,0.096806126,40.35168433819535,28.78856174904321
16:31:03,61700452,50030,2868,6336.0,4349147.0,2026-04-02 16:31:03,2.499,4.45,55.84666869075458,56.10284854167545,0.14910337407728508,0.100030381,44.34090970249764,29.747402557962282
16:34:31,73421269,40552,2925,639.0,4678970.0,2026-04-02 16:34:31,2.499,4.45,55.84666869075458,56.10284854167545,0.18044808822291195,0.10761631,53.662316063573265,32.00333402081576
16:45:08,74629770,50351,2343,6193.0,4720079.0,2026-04-02 16:45:08,3.001,4.68,58.024422055404415,58.45252580044545,0.18373479902158768,0.108561817,47.274000806420474,27.9323865252193
16:48:44,88217148,55241,942,1207.0,4873546.0,2026-04-02 16:48:44,3.001,4.68,58.024422055404415,58.45252580044545,0.22139347645640117,0.11209155800000001,56.96338113558136,28.840570384613574
16:59:11,90619844,52356,292,6831.0,4917874.0,2026-04-02 16:59:11,3.001,4.68,58.024422055404415,58.45252580044545,0.22818762280431099,0.113111102,58.71147938175133,29.102893712229466
17:02:41,95741654,49402,1409,7202.0,5063292.0,2026-04-02 17:02:41,3.001,4.68,58.024422055404415,58.45252580044545,0.24280592853040156,0.116455716,62.47269282832608,29.9634453648023
17:13:11,102893943,54670,4152,3983.0,5031866.0,2026-04-02 17:13:11,3.001,4.68,58.024422055404415,58.45252580044545,0.26352761850636625,0.115732918,67.80427505363471,29.7774732276958
17:16:45,109943991,46103,1445,2961.0,5113100.0,2026-04-02 17:16:45,3.001,4.68,58.024422055404415,58.45252580044545,0.2843045410610983,0.1176013,73.1500683319779,30.258198123823522
